Date_Short,Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,V_SPREAD_OPEN,V_SPREAD_CLOSE,TOTAL_OPEN,TOTAL_CLOSE,V_2H_SPREAD,2H_TOTAL
1019,20211019,501,V,Brooklyn,25,34,26,19,104,240.5,233.5,105,2,0,1.5,240.5,233.5,2,114
1019,20211019,502,H,Milwaukee,37,29,31,30,127,0,1.5,-125,114,0,1.5,240.5,233.5,2,114
1019,20211019,503,V,GoldenState,32,21,30,38,121,230.5,226.5,140,111.5,4.5,3.5,230.5,226.5,0,111.5
1019,20211019,504,H,LALakers,34,25,26,29,114,4.5,3.5,-160,0,4.5,3.5,230.5,226.5,0,111.5
1020,20211020,505,V,Indiana,38,37,13,34,122,228.5,1.5,-125,110.5,2,1.5,228.5,223,4,110.5
1020,20211020,506,H,Charlotte,27,32,33,31,123,2,223,105,4,2,1.5,228.5,223,4,110.5
1020,20211020,507,V,Chicago,14,26,31,23,94,2.5,5,-220,5.5,2.5,5,220.5,218,5.5,110.5
1020,20211020,508,H,Detroit,20,24,25,19,88,220.5,218,190,110.5,2.5,5,220.5,218,5.5,110.5
1020,20211020,509,V,Washington,26,31,24,17,98,220,223,120,109,3.5,2.5,220,223,6,109
1020,20211020,510,H,Toronto,18,19,22,24,83,3.5,2.5,-140,6,3.5,2.5,220,223,6,109
1020,20211020,511,V,Boston,35,23,24,34,134,217.5,220,120,112.5,1,2.5,217.5,220,2.5,112.5
1020,20211020,512,H,NewYork,29,25,32,30,138,1,2.5,-140,2.5,1,2.5,217.5,220,2.5,112.5
1020,20211020,513,V,Cleveland,32,29,29,31,121,217.5,218.5,240,107,8,7,217.5,218.5,0,107
1020,20211020,514,H,Memphis,32,41,21,38,132,8,7,-280,0,8,7,217.5,218.5,0,107
1020,20211020,515,V,Philadelphia,29,24,28,36,117,1.5,4,-170,2.5,1.5,4,227.5,224,2.5,109
1020,20211020,516,H,NewOrleans,25,28,17,27,97,227.5,224,150,109,1.5,4,227.5,224,2.5,109
1020,20211020,517,V,Houston,21,24,26,35,106,228.5,232,220,3.5,4.5,6.5,228.5,232,3.5,113
1020,20211020,518,H,Minnesota,32,40,27,25,124,4.5,6.5,-260,113,4.5,6.5,228.5,232,3.5,113
1020,20211020,519,V,Orlando,28,21,22,26,97,215.5,212.5,225,104,5.5,7,215.5,212.5,0,104
1020,20211020,520,H,SanAntonio,32,29,33,29,123,5.5,7,-265,0,5.5,7,215.5,212.5,0,104
1020,20211020,521,V,OklahomaCity,18,24,21,23,86,221.5,221.5,750,107,11.5,14,221.5,221.5,5,107
1020,20211020,522,H,Utah,27,27,29,24,107,11.5,14,-1200,5,11.5,14,221.5,221.5,5,107
